RA,Genero,Fase,Defasagem,Pedra,IAN,IDA,IEG,IAA,IPS,IPV,INDE,IPP,AnoRef
1,Feminino,7,-1,Quartzo,5.0,4.0,4.1,8.3,5.6,7.278,5.783,7.41875,2022
2,Feminino,7,0,Ametista,10.0,6.8,5.2,8.8,6.3,6.778,7.055,7.75625,2022
3,Feminino,7,0,Ágata,10.0,5.6,7.9,0.0,5.6,7.556,6.591,7.2875,2022
4,Masculino,7,0,Quartzo,10.0,5.0,4.5,8.8,5.6,5.278,5.951,6.7020833332,2022
5,Feminino,7,0,Ametista,10.0,5.2,8.6,7.9,5.6,7.389,7.427,7.5,2022
6,Feminino,7,-1,Quartzo,5.0,3.3,4.5,7.9,7.5,7.222,5.848,7.48125,2022
7,Masculino,7,-1,Ágata,5.0,7.6,8.4,0.0,7.5,7.667,6.818,7.4791666666,2022
8,Feminino,7,-1,Quartzo,5.0,1.6,4.6,7.1,6.3,6.278,4.786,7.3,2022
9,Feminino,7,-1,Topázio,5.0,6.7,9.5,8.8,7.5,9.5,8.109,8.4416666666,2022
10,Feminino,7,-1,Quartzo,5.0,4.1,5.2,8.3,5.0,7.056,5.784,7.10625,2022
11,Feminino,7,-1,Quartzo,5.0,3.0,4.2,9.2,5.0,6.389,5.323,7.41875,2022
12,Feminino,7,0,Quartzo,10.0,1.5,4.0,0.0,6.9,6.389,4.832,7.0,2022
13,Masculino,7,-1,Ágata,5.0,4.7,7.4,7.9,7.5,8.056,6.902,7.3125,2022
14,Masculino,7,-1,Ágata,5.0,4.0,8.3,7.9,7.5,7.75,6.793,7.3125,2022
15,Masculino,7,-1,Ametista,5.0,7.3,10.0,8.8,7.5,7.292,7.783,7.3,2022
16,Masculino,7,-1,Ágata,5.0,3.5,8.3,7.9,5.0,6.333,6.112,7.25,2022
17,Masculino,7,-1,Topázio,5.0,7.8,10.0,8.8,7.5,8.292,8.068,8.3666666666,2022
18,Masculino,7,-1,Ametista,5.0,9.0,8.7,6.3,6.3,6.875,7.226,7.7375,2022
19,Feminino,7,-1,Ametista,5.0,8.0,9.5,7.9,7.5,7.0,7.665,7.64375,2022
19,Feminino,7,-1,Ametista,5.0,8.0,9.5,7.9,7.5,7.0,7.665,7.75,2022
20,Feminino,7,-1,Ametista,5.0,7.8,10.0,7.1,6.3,7.167,7.535,7.39375,2022
21,Masculino,7,-1,Ágata,5.0,3.8,9.2,9.6,7.5,7.25,6.945,7.25,2022
22,Feminino,6,-1,Ametista,5.0,6.7,7.4,8.3,8.1,8.833,7.474,7.71875,2022
23,Masculino,6,-1,Ametista,5.0,6.7,8.2,8.3,8.1,8.556,7.677,7.5,2022
